CNPJ_FUNDO,SIT,DT_REG,TAXA_ADM,VL_PATRIM_LIQ,cnpj,uf,razao_social,sigla,nome
49112611000110,EM FUNCIONAMENTO NORMAL,2023-01-09,null,99273256.37,49112611000110,SP,ID GOIANA FUNDO DE INVESTIMENTO FIAGRO IMOBILIARIO,SP,São Paulo
43876172000136,EM FUNCIONAMENTO NORMAL,2022-03-08,null,4142252.66,43876172000136,MG,IA CARTEIRA JUROS FC DE FUNDO DE INVESTIMENTO FINANCEIRO MULT CRED PRIV RESPONSABILIDADE LIMITADA,MG,Minas Gerais
52324762000147,EM FUNCIONAMENTO NORMAL,2023-09-26,null,26961795.48,52324762000147,SP,FUNDO DE INVESTIMENTO IMOBILIARIO DE UNIDADES AUTONOMAS IV,SP,São Paulo
47085583000164,EM FUNCIONAMENTO NORMAL,2022-10-18,null,99482670.96,47085583000164,SP,JIVE DISTRESSED & SPECIAL SITS IV INSTITUTIONAL FIC DE FIF MULTI - CP RESPONSABILIDADE LIMITADA,SP,São Paulo
32162536000108,EM FUNCIONAMENTO NORMAL,2019-05-15,null,46858947.51,32162536000108,SP,PSS SMALL FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA INVESTIMENTO NO EXTERIOR,SP,São Paulo
45908305000134,EM FUNCIONAMENTO NORMAL,2022-11-22,null,164835294.91,45908305000134,SP,ID 309 FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,SP,São Paulo
39723229000190,EM FUNCIONAMENTO NORMAL,2021-01-27,0.07,69484468.91,39723229000190,SP,BLACKROCK ACOES GLOBAIS ESG CLASSE DE INVESTIMENTO SUSTENTAVEL EM ACOES - RESPONSABILIDADE LIMITADA,SP,São Paulo
45899745000172,EM FUNCIONAMENTO NORMAL,2022-10-25,null,105805620.99,45899745000172,SP,ID 112 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,SP,São Paulo
09228836000112,EM FUNCIONAMENTO NORMAL,2008-01-07,0,647969508.53,09228836000112,SP,HORIZON CLASSE DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,SP,São Paulo
42196346000157,EM FUNCIONAMENTO NORMAL,2021-08-09,null,28478914.31,42196346000157,SP,ADAMANTUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL,SP,São Paulo
02727085000130,EM FUNCIONAMENTO NORMAL,2022-04-09,null,1355673.91,02727085000130,RJ,FUNDO MUTUO STOCK MAXIMA DE PRIVATIZACAO FGTS,RJ,Rio de Janeiro
32222912000102,EM FUNCIONAMENTO NORMAL,2018-12-21,null,29507808.67,32222912000102,SP,PRIME REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,SP,São Paulo
52112338000139,EM FUNCIONAMENTO NORMAL,2023-09-08,null,39657633.31,52112338000139,SP,FIZZ CARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS RESPONSABILIDADE LIMITADA,SP,São Paulo
28240255000140,EM FUNCIONAMENTO NORMAL,2017-08-30,null,75330990.41,28240255000140,SP,MARINO INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS RESP LIMITADA,SP,São Paulo
28796986000177,EM FUNCIONAMENTO NORMAL,2018-04-27,null,103771102.59,28796986000177,SP,KINERET FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,SP,São Paulo
09234078000145,EM FUNCIONAMENTO NORMAL,2008-06-04,null,11673771707.4,09234078000145,DF,FUNDO DE INVESTIMENTO DO FUNDO DE GARANTIA DO TEMPO DE SERVICO,DF,Distrito Federal
14166140000149,EM FUNCIONAMENTO NORMAL,2012-01-18,null,1294014141.12,14166140000149,SP,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SIFRA STAR,SP,São Paulo
23120075000101,EM FUNCIONAMENTO NORMAL,2022-11-28,null,1438003.41,23120075000101,SP,GLP INVESTIMENTOS VII FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,SP,São Paulo
